Google Place Name,Google Address,Google Place ID,ArcGIS Best Match,Match Score,Matched Street Name
Kroger Liquor Store,"12613 TAYLORSVILLE RD #102, LOUISVILLE, KY 40299, USA",ChIJSfXiCbKjaYgRRgKmy_W1dH8,"12613 TAYLORSVILLE RD, 102 LIQUOR, LOUISVILLE, KY 40299",75,"12613 TAYLORSVILLE RD, 102 LIQUOR, LOUISVILLE, KY 40299"
P C A Pharmacy,"LOUISVILLE, KY 40299, USA",ChIJq6qqquqjaYgR_OnW_c9oJX8,"9267 SMYRNA PKY, LOUISVILLE, KY 40229",76,"9267 SMYRNA PKY, LOUISVILLE, KY 40229"
Kroger Pharmacy,"12611 TAYLORSVILLE RD STE 102, LOUISVILLE, KY 40299, USA",ChIJXcgGStWjaYgR4nwcn4i0tRA,"12613 TAYLORSVILLE RD, 102 LIQUOR, LOUISVILLE, KY 40299",74,"12613 TAYLORSVILLE RD, 102 LIQUOR, LOUISVILLE, KY 40299"
Interactive Site Services,"LOUISVILLE, KY 40299, USA",ChIJVVVVVblyaYgRQG7VMLfOXag,"9267 SMYRNA PKY, LOUISVILLE, KY 40229",76,"9267 SMYRNA PKY, LOUISVILLE, KY 40229"
Rockford Smoke Shoppe,"4752 ROCKFORD PLAZA, LOUISVILLE, KY 40216, USA",ChIJ6cQP0METaYgRO8wO5O40Efs,"4752 ROCKFORD PLZ, SHIVELY, KY 40216",78,"4752 ROCKFORD PLZ, SHIVELY, KY 40216"
Good Vibes Smoke Shop,"2710 ROCKFORD LN, LOUISVILLE, KY 40216, USA",ChIJk_CukkUVaYgRYlvHS2htmts,"2710 ROCKFORD LN, SHIVELY, KY 40216",80,"2710 ROCKFORD LN, SHIVELY, KY 40216"
Valero,"2119 UPPER HUNTERS TRACE, LOUISVILLE, KY 40216, USA",ChIJdczTEuUTaYgRD1XGlEjM404,"2119 UPPER HUNTERS TRCE, LOUISVILLE, KY 40216",79,"2119 UPPER HUNTERS TRCE, LOUISVILLE, KY 40216"
Kroger Fuel Center,"4915C DIXIE HWY, LOUISVILLE, KY 40216, USA",ChIJjXvU9-cTaYgRDatuglOzy1M,"4048 E DIXIE HWY, BLDG, 40216",71,"4048 E DIXIE HWY, BLDG, 40216"
Marathon,"2119 UPPER HUNTERS TRACE, LOUISVILLE, KY 40216, USA",ChIJ8WoybeUTaYgRf4v41Pi5-xs,"2119 UPPER HUNTERS TRCE, LOUISVILLE, KY 40216",79,"2119 UPPER HUNTERS TRCE, LOUISVILLE, KY 40216"
Rockford Lane Liquors,"2700 ROCKFORD LN, LOUISVILLE, KY 40216, USA",ChIJZ-fPfPUTaYgRjTmZ7nO2sG4,"2700 ROCKFORD LN, SHIVELY, KY 40216",80,"2700 ROCKFORD LN, SHIVELY, KY 40216"
